,ID,Feature,Time
159,14,"(28.733780375014508, -8.282421409804366, 2.865359432132481, 5.40932447044694, -1.439613909508545)",437
160,14,"(29.758297205160353, -8.321317864423756, 2.865359432132481, 5.409324470446936, -1.439613909508545)",438
161,14,"(30.988461716480373, -8.734448133472126, 2.865359432132481, 5.409324470446933, -1.439613909508545)",439
162,14,"(31.861062401669244, -8.914147494357199, 2.865359432132481, 5.409324470446929, -1.439613909508545)",440
163,14,"(33.02082554116478, -9.251319678732886, 2.865359432132481, 5.409324470446929, -1.439613909508545)",441
164,14,"(33.974940991172176, -9.214258036490271, 2.8653594321324802, 5.409324470446929, -1.48838118395592)",442
165,14,"(35.286620415036424, -9.410627308535688, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",443
166,14,"(35.286620415036424, -9.410627308535688, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",444
167,14,"(37.25413956333077, -9.705181230087634, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",445
168,14,"(38.48986092824158, -9.971951977048803, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",446
169,14,"(39.866385222354424, -10.390638925696141, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",447
170,14,"(39.866385222354424, -10.390638925696141, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",448
171,14,"(41.69310158711609, -10.533276678660126, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",449
172,14,"(42.78246343980588, -10.794490804409188, 2.8653594321324802, 5.409324470446933, -1.48838118395592)",450
173,15,"(14.592037866168681, -25.410697224572584, 2.825798968995578, 5.764022911897574, -3.163743432581064)",410
174,15,"(14.592037866168681, -25.410697224572584, 2.825798968995578, 5.764022911897574, -3.163743432581064)",411
175,15,"(14.619821050653396, -24.678899841453504, 2.825798968995578, 5.764022911897574, -3.163743432581064)",412
176,15,"(14.582759449651412, -23.724784904307718, 2.825798968995578, 5.764022911897574, -3.163743432581064)",413
177,15,"(14.523471299975702, -23.35610787506161, 2.825798968995578, 5.764022911897574, -3.163743432581064)",414
178,15,"(14.556811124317017, -22.477950986314674, 2.825798968995576, 5.764022911897574, -3.163743432581064)",415
179,15,"(14.508636247829537, -21.816554973545394, 2.825798968995578, 5.764022911897574, -3.163743432581064)",416
180,15,"(14.319658519829899, -21.003242815006967, 2.825798968995578, 5.764022911897574, -3.163743432581064)",417
181,15,"(14.319658519829899, -21.003242815006967, 2.825798968995578, 5.764022911897574, -3.163743432581064)",418
182,15,"(14.532697667298523, -19.252485585630062, 2.825798968995579, 5.764022911897574, -3.163743432581064)",419
183,15,"(14.48452278870674, -18.59108952766061, 2.825798968995579, 5.764022911897574, -3.163743432581064)",420
184,15,"(14.436347907483952, -17.929693473721304, 2.825798968995581, 5.764022911897574, -3.163743432581064)",421
185,15,"(14.258483444157424, -16.8236622649467, 2.825798968995581, 5.764022911897574, -3.163743432581064)",422
186,15,"(14.373337971722334, -15.728744331085412, 2.825798968995581, 5.764022911897574, -3.163743432581064)",423
187,15,"(14.249205025032742, -15.137749676132243, 2.825798968995581, 5.7640229118975785, -3.163743432581064)",424
188,15,"(14.212143416621819, -14.183634599627199, 2.825798968995581, 5.7640229118975785, -3.163743432581064)",425
189,15,"(14.321441306490817, -13.23507612263844, 2.825798968995581, 5.764022911897577, -3.163743432581064)",426
190,15,"(14.441852475337033, -11.993798612992943, 2.825798968995581, 5.764022911897577, -3.163743432581064)",427
191,15,"(14.556707011222421, -10.898880585076672, 2.825798968995585, 5.764022911897577, -3.163743432581064)",428
192,15,"(14.449243972481757, -9.868807344033492, 2.825798968995588, 5.764022911897577, -3.163743432581064)",429
193,15,"(14.18986478583639, -8.97953693459706, 2.825798968995588, 5.764022911897577, -3.163743432581064)",430
194,15,"(14.245431167565087, -7.515941669111366, 2.825798968995588, 5.764022911897577, -3.163743432581064)",431
195,15,"(14.208369557022548, -6.561826420303357, 2.825798968995588, 5.764022911897577, -3.163743432581064)",432
196,15,"(14.258379302057966, -5.244590642393754, 2.825798968995588, 5.764022911897577, -3.163743432581064)",433
197,15,"(14.237987608453299, -3.851396750223434, 2.825798968995588, 5.764022911897577, -3.163743432581064)",434
198,15,"(14.136081195571567, -2.674963812007063, 2.825798968995588, 5.764022911897577, -3.163743432581064)",435
199,15,"(14.104576218014813, -1.574488947555278, 2.825798968995588, 5.764022911897577, -3.163743432581064)",436
200,15,"(14.202760848580546, -0.9186493059357561, 2.825798968995588, 5.764022911897577, -3.163743432581064)",437
201,15,"(14.376903559490438, -0.192408199814868, 2.825798968995588, 5.764022911897577, -3.163743432581064)",438
202,15,"(14.280553783968951, 1.130384368644295, 2.825798968995588, 5.764022911897577, -3.163743432581064)",439
203,15,"(14.276832002846913, 2.962657124063677, 2.825798968995588, 5.764022911897577, -3.163743432581064)",440
204,15,"(14.239770396614725, 3.9167725652702243, 2.825798968995588, 5.764022911897577, -3.163743432581064)",441
205,15,"(14.506541113549506, 5.15249389260187, 2.825798968995588, 5.764022911897577, -3.163743432581064)",442
206,15,"(14.63806559057767, 6.686491011069363, 2.8257989689955902, 5.764022911897577, -3.163743432581064)",443
207,15,"(14.991907683696107, 8.285333024074792, 2.825798968995583, 5.764022911897577, -3.163743432581064)",444
208,15,"(14.749198379633068, 9.613682403933485, 2.825798968995586, 5.764022911897577, -3.163743432581064)",445
209,15,"(14.745476608897274, 11.445955405727542, 2.825798968995586, 5.764022911897577, -3.163743432581064)",446
210,16,"(15.317273292575358, -41.13074104170639, 2.772393140752388, 5.640382305610256, -3.168173136430155)",410
211,16,"(15.317273292575358, -41.13074104170639, 2.772393140752388, 5.640382305610256, -3.168173136430155)",411
212,16,"(15.317273292575358, -41.13074104170639, 2.772393140752388, 5.640382305610256, -3.168173136430155)",412
213,16,"(15.480302667850811, -40.69721942442007, 2.772393140752392, 5.640382305610256, -3.168173136430155)",413
