,ID,Feature,Time
110,2a3,"(13.503489848105993, -9.879752473319968, 2.258391469495943, 4.935006645337881, -1.492760154041196)",76
111,2a3,"(13.959380196418408, -9.878703959543213, 2.258391469495943, 4.935006645337881, -1.492760154041196)",77
112,2a3,"(14.689224180360997, -10.059382488440285, 2.258391469495943, 4.935006645337888, -1.492760154041196)",78
113,2a3,"(15.327470708815781, -10.057914567115148, 2.258391469495943, 4.935006645337881, -1.492760154041196)",79
114,2a3,"(15.692602401336767, -10.239431908173788, 2.258391469495943, 4.935006645337876, -1.492760154041196)",80
115,2a4,"(19.118816553215364, -40.06662381221521, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",40
116,2a4,"(19.118816553215364, -40.06662381221521, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",41
117,2a4,"(19.118816553215364, -40.06662381221521, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",42
118,2a4,"(19.11776807261578, -39.610733399955, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",43
119,2a4,"(19.11776807261578, -39.610733399955, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",44
120,2a4,"(19.11692928813478, -39.246021069591514, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",45
121,2a4,"(19.116090503653886, -38.881308739227926, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",46
122,2a4,"(19.116090503653886, -38.881308739227926, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",47
123,2a4,"(19.116090503653886, -38.881308739227926, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",48
124,2a4,"(19.115461415295933, -38.607774492704955, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",49
125,2a4,"(19.115461415295933, -38.607774492704955, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",50
126,2a4,"(19.115461415295933, -38.607774492704955, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",51
127,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",52
128,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",53
129,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",54
130,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",55
131,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",56
132,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",57
133,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",58
134,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",59
135,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",60
136,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",61
137,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",62
138,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",63
139,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",64
140,2a4,"(19.114832326936213, -38.33424024534883, 2.3420385976428593, 4.516787841019792, -3.143892741500976)",65
